#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
123.73 23.38 33.2 1.49 -1.44 -0.051 1.24 0.799 -1.2 23 123.73 23.38 C202006210424A R
176.63 -16.56 18.7 -0.493 -0.474 0.967 0.124 -0.598 5.2 23 176.63 -16.56 C202006210613A SS
272.88 11.3 30.2 1.29 -0.866 -0.423 0.757 -0.703 0.774 24 272.88 11.3 C202006210858A R
138.18 9.7 18.7 3.63 -2.3 -1.33 3.45 0.117 -5.78 23 138.18 9.7 C202006210958A R-SS
93.23 23.89 33.8 -0.079 -2.77 2.85 0.088 -1.73 0.96 23 93.23 23.89 C202006211046A SS-R
182.6 -31.42 21.5 2.81 -0.591 -2.22 0.818 1.65 -0.668 23 182.6 -31.42 C202006211152A R
341.28 66.46 12.0 -1.25 0.013 1.23 0.199 -0.177 0.039 25 341.28 66.46 C202006211907A N
110.96 -9.1 70.7 -4.68 8.78 -4.1 4.65 -1.08 0.07 23 110.96 -9.1 C202006211933A N-SS
341.15 66.79 17.2 -2.58 0.298 2.29 5.09 1.15 0.462 23 341.15 66.79 C202006211946A N
93.26 23.1 19.9 0.013 1.69 -1.7 1.36 0.074 3.11 24 93.26 23.1 C202006212240A SS
120.12 17.23 13.2 -3.5 3.73 -0.224 -0.526 -2.65 -0.74 23 120.12 17.23 C202006220802A N-SS
325.82 -60.65 19.4 -1.97 1.42 0.548 0.624 0.346 2.03 23 325.82 -60.65 C202006220827A N
148.13 -3.02 12.0 -0.078 0.58 -0.502 0.238 0.159 0.875 24 148.13 -3.02 C202006220951A SS
78.09 -39.21 12.0 -1.36 -4.97 6.33 -0.397 0.27 -4.62 23 78.09 -39.21 C202006221006A SS
278.23 -6.13 12.2 -1.2 -4.44 5.64 -3.84 -0.471 -2.22 23 278.23 -6.13 C202006221308A SS-N
247.99 -23.12 12.0 -3.79 1.96 1.83 -2.69 -2.34 -1.32 23 247.99 -23.12 C202006221323A N-SS
344.47 -44.84 28.9 -3.85 1.47 2.38 0.733 2.69 -2.13 23 344.47 -44.84 C202006221329B N-SS
182.26 -33.72 12.0 -1.51 0.3 1.21 -0.164 -0.089 0.438 24 182.26 -33.72 C202006221429A N
181.76 -33.14 19.2 5.03 -0.256 -4.78 1.27 4.35 -1.11 23 181.76 -33.14 C202006221811A R
242.09 36.48 20.0 -1.48 -0.262 1.75 0.837 -0.595 0.697 23 242.09 36.48 C202006230025B N-SS
264.16 15.82 26.0 2.14 -2.55 0.413 1.96 -1.34 0.513 23 264.16 15.82 C202006230117A R
123.71 0.02 98.1 0.62 -0.841 0.221 1.05 0.475 -0.044 25 123.71 0.02 C202006230743A R
263.93 16.02 21.5 0.696 -0.704 0.008 1.09 -0.644 0.17 27 263.93 16.02 C202006231529A R
263.62 15.77 12.0 1.08 -1.17 0.084 1.04 -0.669 0.257 24 263.62 15.77 C202006240233A R
153.39 -5.89 21.3 2.46 -1.46 -1 1.69 -1.05 0.721 23 153.39 -5.89 C202006241214A R
325.64 56.66 12.0 -1.54 0.198 1.35 0.307 0.805 -0.399 23 325.64 56.66 C202006241458A N
282.29 -1.78 175.1 -3.98 0.09 3.89 2.42 -4.81 -2.45 23 282.29 -1.78 C202006241538A N
242.06 36.46 17.6 -4.42 -3.22 7.65 2.39 -1.07 1.05 24 242.06 36.46 C202006241740A N-SS
140.88 35.56 28.3 7.8 -9.45 1.65 -3.08 3.24 -0.47 24 140.88 35.56 C202006241947A R-SS
167.39 -44.56 17.4 2.28 -0.096 -2.19 0.15 -2.05 -1.5 24 167.39 -44.56 C202006242220A R-SS
244.68 44.44 16.7 -0.94 1.14 -0.205 -0.25 0.901 -0.832 23 244.68 44.44 C202006250520A N-SS
70.72 -26.09 12.0 -1.88 0.89 0.995 0.247 0.488 -0.99 24 70.72 -26.09 C202006250608A N
153.48 -5.97 30.0 3.38 -1.88 -1.49 1.01 -0.379 0.61 23 153.48 -5.97 C202006250834A R
188.47 52.06 45.6 1.21 0.019 -1.22 0.102 0.963 0.566 23 188.47 52.06 C202006250924A R
44.03 38.42 17.1 -1.12 -0.494 1.61 0.287 0.005 -0.213 24 44.03 38.42 C202006251003A N
288.18 -32.13 35.0 5.68 1.39 -7.08 2.58 -2.73 -0.716 23 288.18 -32.13 C202006251155A R-SS
247.23 -21.91 18.7 -1.19 1.23 -0.039 -0.195 -0.077 1.6 23 247.23 -21.91 C202006251216A N-SS
264.75 -37.29 12.0 -4.37 -0.613 4.98 0.14 -2.16 -1.62 23 264.75 -37.29 C202006251829A N
264.69 -37.32 12.0 -2.35 -0.053 2.4 -0.242 -0.715 -0.227 23 264.69 -37.32 C202006251843A N
82.32 35.75 16.6 -2.02 -0.462 2.48 2.2 0.18 1.25 23 82.32 35.75 C202006252029A N-SS
82.35 35.71 13.3 -2.66 -0.536 3.2 0.824 0.32 1.05 25 82.35 35.71 C202006252105A N
82.27 35.72 19.5 -1.59 -0.026 1.62 0.548 0.362 1.08 23 82.27 35.72 C202006260130A N
335.14 -56.76 20.0 1.65 -2.96 1.32 -0.413 1.94 -2.45 23 335.14 -56.76 C202006260210A SS-R
27.73 38.77 14.0 -6.46 4.99 1.46 -3.17 1.05 -4.22 23 27.73 38.77 C202006260721A N
121.01 19.16 28.2 0.304 0.18 -0.484 -0.763 -1.45 -0.203 24 121.01 19.16 C202006261154A R
26.52 35.28 19.9 -1.56 -0.452 2.01 -0.856 0.353 1.45 23 26.52 35.28 C202006261936A N-SS
