#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
325.26 7.74 10.0 0.198 0.142 -0.34 -0.281 -0.363 -1.479 25 325.26 7.74 B040477A SS
144.53 11.55 33.5 0.113 6.139 -6.252 2.868 -1.242 3.321 24 144.53 11.55 B040577A SS-R
50.26 31.34 10.0 0.489 -1.086 0.596 0.313 -0.749 -0.426 25 50.26 31.34 B040677A SS-R
288.92 -10.11 575.3 -1.607 0.169 1.438 0.19 -0.083 -0.123 25 288.92 -10.11 B040977A N
169.61 -19.71 10.0 -2.082 0.175 1.908 0.96 2.189 -2.818 24 169.61 -19.71 B040977B N-SS
114.59 -52.29 10.0 1.699 -0.4 -1.299 -0.252 0.386 -1.129 24 114.59 -52.29 B041177A R
141.9 22.56 10.0 -7.986 -1.709 9.695 0 0 -2.349 23 141.9 22.56 B041177B N
70.46 36.03 209.8 2.096 -1.322 -0.774 2.327 3.002 -1.007 24 70.46 36.03 B041377A R
126.86 3.72 44.9 0.9487 -0.1237 -0.8251 0.5704 0.8515 0.4201 24 126.86 3.72 B041377B R-SS
181.06 -17.79 533.4 -1.717 1.377 0.341 -0.865 0.087 0.091 24 181.06 -17.79 B041477A N
290.73 -23.01 129.7 -0.634 -0.66 1.294 -0.274 -0.693 -0.738 24 290.73 -23.01 B041577A SS-N
180.65 -21.13 581.8 -4.385 3.506 0.879 -7.948 2.875 -1.801 23 180.65 -21.13 B041677A N
70.41 35.99 230.5 0.796 -1.252 0.456 0.992 0.156 -0.03 24 70.41 35.99 B041877A R
125.62 -5.62 555.0 2.327 0.835 -3.162 0.738 -3.92 -1.758 24 125.62 -5.62 B041977A R
148.28 -6.06 161.2 -0.617 1.091 -0.474 -0.574 0.813 -0.226 24 148.28 -6.06 B042077A N-SS
137.7 30.34 495.4 -4.109 2.568 1.541 -2.302 -0.387 2.851 24 137.7 30.34 B042077B N
160.47 -10.07 11.0 0.991 -1.038 0.047 0.622 -1.191 0.909 26 160.47 -10.07 B042077C R-SS
159.2 -9.2 16.3 5.741 -5.22 -0.52 4.415 -4.343 3.666 26 159.2 -9.2 M042077D R
159.79 -9.33 16.4 2.807 -1.088 -1.719 3.45 -1.859 1.952 26 159.79 -9.33 M042077E R
160.59 -10.22 40.4 1.15 -0.28 -0.87 0.058 -0.435 0.423 27 160.59 -10.22 C042177A R
160.61 -9.95 10.0 -0.1376 0.2512 -0.1136 0.9319 -0.519 0.086 25 160.61 -9.95 B042277B N
118.75 -8.35 68.7 -0.619 -0.521 1.14 -0.413 0.421 1.895 24 118.75 -8.35 B042277C SS-N
181.9 -18.54 554.3 -0.6003 0.6745 -0.0742 -0.2762 -0.8248 0.141 24 181.9 -18.54 B042277A N-SS
133.62 74.67 10.0 -1.838 -1.318 3.155 0 0 -0.011 23 133.62 74.67 B042377A N
270.58 -41.6 10.0 -0.52 0.105 0.415 -0.329 -1.109 -2.725 24 270.58 -41.6 B042677A SS-N
48.63 32.1 19.6 1.546 -1.527 -0.019 0.986 -0.339 0.694 24 48.63 32.1 B042677B R
232.76 -55.2 10.0 -0.706 1.992 -1.287 0.078 0.26 1.52 24 232.76 -55.2 B042777A SS
282.98 -5.84 130.0 -6.592 3.281 3.311 1.385 0.177 -4.207 23 282.98 -5.84 B050177A N
154.28 -7.4 14.1 -1.114 0.906 0.208 -0.253 0.489 -0.831 24 154.28 -7.4 B050177B N
123.15 6.7 10.0 -4.534 3.438 1.096 4.301 -3.444 4.397 24 123.15 6.7 B050277A N-SS
358.49 71.63 10.0 -1.456 0.758 0.698 0 0 1.103 24 358.49 71.63 B050777A N
